"neighbourhood_group_cleansed"	"mean_rating"	"mean_price"
"Arganzuela"	4.55411764705882	108.314878892734
"Barajas"	4.71893939393939	52.6515151515151
"Carabanchel"	4.39282958199357	52.6270096463022
"Centro"	4.58751669449082	121.875834724541
"Chamartín"	4.4562641509434	92.6490566037736
"Chamberí"	4.45104283054004	85.6778398510242
"Ciudad Lineal"	4.63586206896552	68.7172413793104
"Fuencarral - El Pardo"	4.53928	72.04
"Hortaleza"	4.59039548022599	86.316384180791
"Latina"	4.44429718875502	115.244979919679
"Moncloa - Aravaca"	4.65389344262295	84.3360655737705
"Moratalaz"	4.44386363636364	60.4318181818182
"Puente de Vallecas"	4.4760071942446	71.2122302158273
"Retiro"	4.58561764705882	111.285294117647
"Salamanca"	4.47713178294574	107.964341085271
"San Blas - Canillejas"	4.55841772151899	81.7721518987342
"Tetuán"	4.50738786279683	87.9788918205805
"Usera"	4.52163120567376	48.5531914893617
"Vicálvaro"	4.51307692307692	38.1923076923077
"Villa de Vallecas"	4.36711111111111	74
"Villaverde"	4.46671052631579	256.697368421053
